Carimbo de data/hora,Nome da Instituição:,CNES:,Data:,Responsável pelo preenchimento:,Quantidade de leitos clínicos SUS totais:,Quantidade de leitos clínicos SUS ocupados:,Quantidade de leitos clínicos convênios/particulares totais:,Quantidade de leitos clínicos convênios/particulares ocupados:,Quantidade de leitos cirúrgicos SUS totais:,Quantidade de leitos cirúrgicos SUS ocupados:,Quantidade de leitos cirúrgicos convênios/particulares totais:,Quantidade de leitos cirúrgicos convênios/particulares ocupados:,Quantidade de leitos pediátricos SUS totais:,Quantidade de leitos pediátricos SUS ocupados:,Quantidade de leitos pediátricos convênios/particulares totais:,Quantidade de leitos pediátricos convênios/particulares ocupados:,Quantidade de leitos de UTIA SUS totais:,Quantidade de leitos de UTIA SUS ocupados:,Quantidade de leitos de UTIA convênios/particulares totais:,Quantidade de leitos de UTIA convênios/particulares ocupados:,Quantidade de leitos de UTI Neo e Ped SUS totais:,Quantidade de leitos de UTI Neo e Ped SUS ocupados:,Quantidade de leitos de UTI Neo e Ped convênios/particulares totais:,Quantidade de leitos de UTI Neo e Ped convênios/particulares ocupados:,Quantidade de leitos de GO/obstetrícia SUS totais:,Quantidade de leitos de GO/obstetrícia SUS ocupados:,Quantidade de leitos de GO/obstetrícia convênios/particulares totais:,Quantidade de leitos de GO/obstetrícia convênios/particulares ocupados:,Quantidade de pacientes em isolamento que necessitam de quarto privativo (ex.: quartos com 02 leitos ocupados com apenas 01 paciente em isolamento):,Quantidade de leitos de UCINCo/UCINCa SUS totais:,Quantidade de leitos de UCINCo/UCINCa convênios/particulares ocupados:,Quantidade de leitos de UCINCo/UCINCa SUS ocupados:,Quantidade de leitos de UCINCo/UCINCa convênios/particulares totais:,Anexar censo diário por tipo de clínica (censo hospitalar gerado pelo sistema utilizado na instituição):,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6
18/06/2025 16:47:00,SANTA CASA DE ITUVERAVA,2751704,18/06/2025,,32,29,16,4,5,7,3,8,4,1,2,2,9,8,1,1,0,0,0,0,4,1,4,3,,0,0,0,0,https://drive.google.com/open?id=1wk-NmG8ZfsSxpr20ZkXd85yRAZo_WvO4,,,,,,
18/06/2025 17:04:00,SANTA CASA DE MISERICÃ“RDIA DE SÃƒO JOAQUIM DA BARRA,2080044,18.06.2025,,44,33,24,8,10,5,7,3,4,0,2,0,8,7,2,3,0,0,0,0,12,2,8,0,,0,0,0,0,https://drive.google.com/open?id=11cp3f58t5i9V3Rqe3qeGTFLYNu7pJa1R,,,,,,
20/06/2025 14:27:00,Santa Casa de Franca,2705982,18/06/2025,,115,95,8,7,81,56,14,1,24,25,0,0,48,42,2,4,18,26,23,1,36,35,0,0,,17,0,13,1,https://drive.google.com/open?id=1-MwFzUuqYHozsxTiqW2X6fha2_8-M-u9,,,,,,
19/06/2025 14:31:00,SANTA CASA DE MISERICORDIA DE SAO JOAQUIM DA BARRA,2080044,19/06/2025,,44,26,16,8,10,4,7,1,4,1,2,0,8,8,2,1,0,0,0,0,12,2,8,0,,0,0,0,0,https://drive.google.com/open?id=1L15yukuzgyOvy0coDkkreNs6pcwuY11Y,,,,,,
20/06/2025 14:31:00,Santa Casa de Franca,2705982,19.06.2025,,115,100,8,7,81,46,14,2,24,25,0,0,48,38,2,3,24,23,1,0,36,33,0,0,,17,0,13,1,https://drive.google.com/open?id=18F0SDeLDDYokiBeAOjOeP8o4npVUfyso,,,,,,
20/06/2025 12:44:00,Santa Casa Ituverava,2751704,20.06.2025,,30,26,19,5,12,14,9,4,5,2,3,1,9,7,1,3,0,0,0,0,12,1,10,1,,0,0,0,0,https://drive.google.com/open?id=1iHt2awMU0w6zd_f4t7A96eWduTguDXXd,,,,,,
20/06/2025 14:17:00,SANTA CASA DE MISERICORDIA DE SÃƒO JOAQUIM DA BARRA,2080044,20/06/2025,,44,23,16,7,10,3,7,3,4,1,2,0,8,9,2,2,0,0,0,0,12,1,8,1,,0,0,0,0,https://drive.google.com/open?id=1pPvLKqepIEcvf8KVHYr8a7XGSK8BMAqE,,,,,,
20/06/2025 14:34:00,SANTA CASA DE FRANCA,2705982,20.06.2025,,115,103,8,8,81,50,14,1,24,26,0,0,48,42,2,3,24,18,1,0,36,34,0,0,,17,0,12,1,https://drive.google.com/open?id=1_QTiAjcLQjlPBT8HyyvQRWo3gJDeP2PM,,,,,,
21/06/2025 11:45:00,Santa Casa de Ituverava,2751705,21.06.2025,,30,28,19,4,11,5,8,4,4,3,2,1,9,6,1,4,0,0,0,0,11,1,10,1,,0,0,0,0,https://drive.google.com/open?id=15f34Q1vL-8NnESaK9XfFzWrOFcLKgSzy,,,,,,
21/06/2025 13:57:00,SANTA CASA DE FRANCA,2705982,21/06/2025,,115,94,8,8,81,47,14,0,24,25,0,0,48,40,2,2,24,18,1,0,36,32,0,0,,17,0,11,1,https://drive.google.com/open?id=1ueZKxQM9XFeblyEYoeEUuiQV2xdobYm8,,,,,,
