Carimbo de data/hora,Nome da Instituição:,CNES:,Data:,Responsável pelo preenchimento:,Quantidade de leitos clínicos SUS totais:,Quantidade de leitos clínicos SUS ocupados:,Quantidade de leitos clínicos convênios/particulares totais:,Quantidade de leitos clínicos convênios/particulares ocupados:,Quantidade de leitos cirúrgicos SUS totais:,Quantidade de leitos cirúrgicos SUS ocupados:,Quantidade de leitos cirúrgicos convênios/particulares totais:,Quantidade de leitos cirúrgicos convênios/particulares ocupados:,Quantidade de leitos pediátricos SUS totais:,Quantidade de leitos pediátricos SUS ocupados:,Quantidade de leitos pediátricos convênios/particulares totais:,Quantidade de leitos pediátricos convênios/particulares ocupados:,Quantidade de leitos de UTIA SUS totais:,Quantidade de leitos de UTIA SUS ocupados:,Quantidade de leitos de UTIA convênios/particulares totais:,Quantidade de leitos de UTIA convênios/particulares ocupados:,Quantidade de leitos de UTI Neo e Ped SUS totais:,Quantidade de leitos de UTI Neo e Ped SUS ocupados:,Quantidade de leitos de UTI Neo e Ped convênios/particulares totais:,Quantidade de leitos de UTI Neo e Ped convênios/particulares ocupados:,Quantidade de leitos de GO/obstetrícia SUS totais:,Quantidade de leitos de GO/obstetrícia SUS ocupados:,Quantidade de leitos de GO/obstetrícia convênios/particulares totais:,Quantidade de leitos de GO/obstetrícia convênios/particulares ocupados:,Quantidade de pacientes em isolamento que necessitam de quarto privativo (ex.: quartos com 02 leitos ocupados com apenas 01 paciente em isolamento):,Quantidade de leitos de UCINCo/UCINCa SUS totais:,Quantidade de leitos de UCINCo/UCINCa convênios/particulares ocupados:,Quantidade de leitos de UCINCo/UCINCa SUS ocupados:,Quantidade de leitos de UCINCo/UCINCa convênios/particulares totais:,Anexar censo diário por tipo de clínica (censo hospitalar gerado pelo sistema utilizado na instituição):,Data:
14/08/2025 16:48:33,SANTA CASA DE MISERICORDIA DE SÃO JOAQUIM DA BARRA ,2080044,14.08.2025,,43,24,13,3,10,12,7,3,10,2,2,0,8,6,2,1,0,0,0,0,12,1,8,0,0,0,0,0,0,,
15/08/2025 14:42:20,SANTA CASA DE MISERICORDIA DE SÃO JOAQUIM DA BARRA,2080044,15.08.2025,,43,23,16,7,10,10,7,3,4,0,2,0,8,4,2,0,0,0,0,0,12,0,8,0,0,0,0,0,0,https://drive.google.com/open?id=15nCJSXhti0qHRAcYEnJk4dHIuZ6USa-c,
16/08/2025 14:25:27,SANTA CASA DE MISERICÓRDIA DE SÃO JOAQUIM DA BARRA ,2080044,16.08.2025,,43,14,13,4,10,6,7,2,10,1,2,0,8,4,2,2,0,0,0,0,12,1,6,1,0,0,0,0,0,,
19/08/2025 14:12:39,SANTA CASA DE MISERICORDIA DE SÃO JOAQUIM DA BARRA ,2080044,19.08.2025,,43,25,16,8,10,7,7,7,4,2,2,0,8,6,2,2,0,0,0,0,12,1,8,0,0,0,0,0,0,https://drive.google.com/open?id=1WG-MH-n1eJQm-pj3AJppOJZ5edX8Q-Eq,
20/08/2025 11:15:54,Santa Casa de Franca,2705982,20/08/2025,,115,116,8,8,81,94,14,6,24,23,0,0,48,40,2,2,24,13,0,0,36,38,0,0,1,18,0,12,0,https://drive.google.com/open?id=1GR_5jb6Gumv_LDuhe1P4ZOdmETH9qchb,
20/08/2025 14:13:48,SANTA CASA DE MISERICORDIA DE SÃO JOAQUIM DA BARRA ,2080044,20.08.2025,,43,28,13,7,10,9,7,8,8,2,2,0,8,7,2,1,0,0,0,0,12,2,8,0,0,0,0,0,0,https://drive.google.com/open?id=1ZXWB7U77rDlyKJnUI3m4Sm_KIN4ClQGk,
21/08/2025 11:20:29,Santa Casa de Franca,2705982,21/08/2025,,115,108,8,5,81,95,14,4,24,22,0,0,48,45,2,2,24,20,1,0,36,37,0,0,1,18,0,13,0,https://drive.google.com/open?id=10lCtU6QAQ-c6Y9fpU9wKKEPzTmHeyUxu,
21/08/2025 13:55:00,SANTA CASA DE MISERICORDIA DE SÃO JOAQUIM DA BARRA ,2080044,21.08.2025,,43,33,13,7,10,7,7,9,10,2,2,0,8,8,2,4,0,0,0,0,12,2,8,0,0,0,0,0,0,https://drive.google.com/open?id=1kcaQF99Wp8Pur9Q3u4lNAKecORDd3Xs9,
22/08/2025 11:11:28,Santa Casa de Franca,2705982,22/08/2025,,115,115,8,3,81,84,14,9,24,26,0,0,48,45,2,2,24,20,0,0,36,36,0,0,0,18,0,12,0,https://drive.google.com/open?id=1PQwhkApL7tDB6Rk2_L5ptJt6h3g3nDHD,
22/08/2025 14:16:41,SANTA CASA DE MISERICORDIA DE SÃO JOAQUIM DA BARRA ,2080044,22.08.2025,,43,34,13,8,10,3,7,6,10,1,2,0,8,0,2,4,0,0,0,0,12,1,8,0,0,0,0,0,0,https://drive.google.com/open?id=1v3UVHpXR2MJ1T0PR0Z_efaryIpmW4DnF,
